FBgn0031208	CR11023   	chr2L     	7529      	9484      	+         	7529      	1.35995948996221	in        	PcG1      	chr2L     	5001      	20000     
FBgn0031920	CG6441    	chr2L     	7474704   	7476952   	+         	7474704   	1.03311288110987	in        	Active37  	chr2L     	7437000   	7496000   
FBgn0264895	RapGAP1   	chr2L     	7497805   	7578980   	-         	7578980   	0.245953097785987	in        	Null54    	chr2L     	7534000   	7715000   
FBgn0031926	CG6739    	chr2L     	7608389   	7616533   	+         	7608389   	0.301853948394326	in        	Null54    	chr2L     	7534000   	7715000   
FBgn0264087	Slob      	chr2L     	7642005   	7675078   	-         	7675078   	1.93890739971758	in        	Null54    	chr2L     	7534000   	7715000   
FBgn0041182	Tep2      	chr2L     	7693727   	7701601   	-         	7701601   	-0.600017969202036	in        	Null54    	chr2L     	7534000   	7715000   
FBgn0041181	Tep3      	chr2L     	7702805   	7710690   	+         	7702805   	-0.0257608665415948	in        	Null54    	chr2L     	7534000   	7715000   
FBgn0267326	Ntl       	chr2L     	7710880   	7713991   	+         	7710880   	0.607648501285535	in        	Null54    	chr2L     	7534000   	7715000   
FBgn0053296	CG33296   	chr2L     	7713998   	7716645   	-         	7716645   	3.24592156534827	in        	Null55    	chr2L     	7716000   	7730000   
FBgn0031936	CG13794   	chr2L     	7719847   	7722823   	-         	7722823   	2.44795303305344	in        	Null55    	chr2L     	7716000   	7730000   
FBgn0031937	CG13795   	chr2L     	7723045   	7726298   	-         	7726298   	-0.822447242060032	in        	Null55    	chr2L     	7716000   	7730000   
FBgn0031939	CG13796   	chr2L     	7727157   	7732670   	-         	7732670   	-2.51012502658332	in        	Null55    	chr2L     	7716000   	7730000   
FBgn0260479	CG31904   	chr2L     	7734415   	7738809   	-         	7738809   	-1.55952082307807	in        	Null56    	chr2L     	7736000   	7769000   
FBgn0031940	CG7214    	chr2L     	7743682   	7744839   	-         	7744839   	-0.682179812230568	in        	Null56    	chr2L     	7736000   	7769000   
FBgn0031941	ATPsynGL  	chr2L     	7747275   	7747874   	+         	7747275   	2.53372462195201	in        	Null56    	chr2L     	7736000   	7769000   
FBgn0020880	CG7179    	chr2L     	7775804   	7778029   	-         	7778029   	1.56275699079681	in        	Null57    	chr2L     	7769000   	7810000   
FBgn0003961	Uro       	chr2L     	7780085   	7781415   	+         	7780085   	1.30138359902441	in        	Null57    	chr2L     	7769000   	7810000   
FBgn0031946	CG7164    	chr2L     	7781465   	7782760   	+         	7781465   	1.61458787863714	in        	Null57    	chr2L     	7769000   	7810000   
FBgn0031947	CG7154    	chr2L     	7782865   	7786061   	+         	7782865   	0.0206408708779775	in        	Null57    	chr2L     	7769000   	7810000   
FBgn0031948	CG7149    	chr2L     	7786160   	7790557   	-         	7790557   	0.2965500881553	in        	Null57    	chr2L     	7769000   	7810000   
FBgn0286198	LKRSDH    	chr2L     	7791175   	7795959   	-         	7795959   	0.414489095044598	in        	Null57    	chr2L     	7769000   	7810000   
FBgn0031950	Herp      	chr2L     	7796314   	7800058   	-         	7800058   	0.00846192527058268	in        	Null57    	chr2L     	7769000   	7810000   
FBgn0031951	r2d2      	chr2L     	7800147   	7802098   	+         	7800147   	-0.0959253715162363	in        	Null57    	chr2L     	7769000   	7810000   
FBgn0031952	cdc14     	chr2L     	7801668   	7810703   	-         	7810703   	-0.141375628503003	in        	Active39  	chr2L     	7810000   	7829000   
FBgn0261800	LanB1     	chr2L     	7811438   	7820771   	+         	7811438   	0.2551945193909	in        	Active39  	chr2L     	7810000   	7829000   
FBgn0027515	CG7115    	chr2L     	7821151   	7825350   	+         	7821151   	-0.056097630305459	in        	Active39  	chr2L     	7810000   	7829000   
FBgn0020618	Rack1     	chr2L     	7825347   	7827315   	-         	7827315   	-0.00753071615014373	in        	Active39  	chr2L     	7810000   	7829000   
FBgn0004177	mts       	chr2L     	7827650   	7833576   	+         	7827650   	0.0439431614302039	in        	Active39  	chr2L     	7810000   	7829000   
FBgn0031955	CG14535   	chr2L     	7844905   	7855475   	-         	7855475   	1.73058577088263	in        	Null58    	chr2L     	7829000   	7866000   
FBgn0040099	lectin-28C	chr2L     	7857077   	7860120   	+         	7857077   	-1.45595591853992	in        	Null58    	chr2L     	7829000   	7866000   
FBgn0031957	TwdlE     	chr2L     	7857957   	7860839   	-         	7860839   	1.51926439531112	in        	Null58    	chr2L     	7829000   	7866000   
FBgn0045038	Proc      	chr2L     	7864642   	7871432   	-         	7871432   	8.86019937615743	in        	Null58    	chr2L     	7829000   	7866000   
FBgn0031959	spz3      	chr2L     	7873495   	7879552   	-         	7879552   	0.347497264187442	in        	Active40  	chr2L     	7879000   	8000000   
FBgn0031961	CG7102    	chr2L     	7883282   	7887513   	-         	7887513   	0.139640503044558	in        	Active40  	chr2L     	7879000   	8000000   
FBgn0261790	SmE       	chr2L     	7884930   	7885450   	-         	7885450   	-0.179104672653985	in        	Active40  	chr2L     	7879000   	8000000   
FBgn0083968	CG34132   	chr2L     	7885503   	7886109   	+         	7885503   	-0.473662942835564	in        	Active40  	chr2L     	7879000   	8000000   
FBgn0051902	Spn28Da   	chr2L     	7887693   	7889129   	-         	7889129   	4.02289140531164	in        	Active40  	chr2L     	7879000   	8000000   
FBgn0053121	Spn28Db   	chr2L     	7889288   	7890704   	-         	7890704   	4.11217818674707	in        	Active40  	chr2L     	7879000   	8000000   
FBgn0085450	Snoo      	chr2L     	7891187   	7984196   	-         	7984196   	-0.259670583776601	in        	Active40  	chr2L     	7879000   	8000000   
FBgn0031968	CG7231    	chr2L     	7983946   	7986785   	+         	7983946   	0.0452068034506413	in        	Active40  	chr2L     	7879000   	8000000   
FBgn0031969	pes       	chr2L     	7986786   	7994184   	-         	7994184   	-0.203138437802927	in        	Active40  	chr2L     	7879000   	8000000   
FBgn0031970	CG7227    	chr2L     	7994388   	7998151   	-         	7998151   	-0.559508840693113	in        	Active40  	chr2L     	7879000   	8000000   
FBgn0266331	asRNA:CR44996	chr2L     	7994798   	7996494   	+         	7994798   	0.186348645759646	in        	Active40  	chr2L     	7879000   	8000000   
FBgn0031971	Sirup     	chr2L     	7998869   	7999676   	+         	7998869   	0.577008145659485	in        	Active40  	chr2L     	7879000   	8000000   
FBgn0031972	Wwox      	chr2L     	7999670   	8004286   	-         	8004286   	0.0996098432951643	in        	Active41  	chr2L     	8000000   	8010000   
FBgn0031973	Spn28Dc   	chr2L     	8004548   	8007210   	-         	8007210   	-0.273696677198425	in        	Active41  	chr2L     	8000000   	8010000   
FBgn0031974	CG12560   	chr2L     	8008302   	8009477   	-         	8009477   	-0.24454112863912	in        	Active41  	chr2L     	8000000   	8010000   
FBgn0031975	Tg        	chr2L     	8011405   	8026898   	+         	8011405   	-0.917024033583917	in        	Active42  	chr2L     	8017000   	8031000   
FBgn0031976	CG7367    	chr2L     	8026914   	8039788   	-         	8039788   	0.359972370303886	in        	Active43  	chr2L     	8031000   	8084000   
FBgn0031977	baf       	chr2L     	8029462   	8030565   	+         	8029462   	0.329512856535013	in        	Active42  	chr2L     	8017000   	8031000   
FBgn0044323	Cka       	chr2L     	8030721   	8040826   	+         	8030721   	-0.22004762467492	in        	Active42  	chr2L     	8017000   	8031000   
FBgn0031979	CCDC53    	chr2L     	8041106   	8041879   	+         	8041106   	-0.0508234617441861	in        	Active43  	chr2L     	8031000   	8084000   
FBgn0031980	RpL36A    	chr2L     	8041873   	8042909   	-         	8042909   	0.0964745605767755	in        	Active43  	chr2L     	8031000   	8084000   
FBgn0065055	snoRNA:Psi28S-2648	chr2L     	8042189   	8042350   	-         	8042350   	-0.692626246394941	in        	Active43  	chr2L     	8031000   	8084000   
FBgn0031981	Megf8     	chr2L     	8043471   	8054326   	+         	8043471   	-0.23173239564887	in        	Active43  	chr2L     	8031000   	8084000   
FBgn0011230	poe       	chr2L     	8054322   	8071624   	-         	8071624   	0.0966815211696957	in        	Active43  	chr2L     	8031000   	8084000   
FBgn0013531	MED20     	chr2L     	8071812   	8072848   	-         	8072848   	-0.215272870053779	in        	Active43  	chr2L     	8031000   	8084000   
FBgn0010287	Trf       	chr2L     	8072895   	8073948   	+         	8072895   	-0.144607784425371	in        	Active43  	chr2L     	8031000   	8084000   
FBgn0267488	Mcr       	chr2L     	8074117   	8082982   	-         	8082982   	0.0494955763552023	in        	Active43  	chr2L     	8031000   	8084000   
FBgn0261822	Bsg       	chr2L     	8083420   	8116531   	+         	8083420   	0.0177546019729696	in        	Active43  	chr2L     	8031000   	8084000   
FBgn0031985	mon2      	chr2L     	8116965   	8124010   	-         	8124010   	-0.0415153989711731	in        	Null59    	chr2L     	8084000   	8127000   
FBgn0031987	CG12375   	chr2L     	8125668   	8126890   	-         	8126890   	-0.13182173058354	in        	Null59    	chr2L     	8084000   	8127000   
FBgn0031988	CG8668    	chr2L     	8127001   	8133989   	+         	8127001   	-0.12853970733464	in        	PcG19     	chr2L     	8127000   	8168000   
FBgn0031990	PAPLA1    	chr2L     	8134247   	8159638   	-         	8159638   	0.128801222731318	in        	PcG19     	chr2L     	8127000   	8168000   
FBgn0263256	CG43394   	chr2L     	8145758   	8158786   	+         	8145758   	-0.342881197187096	in        	PcG19     	chr2L     	8127000   	8168000   
FBgn0261064	Rbsn-5    	chr2L     	8159832   	8161800   	+         	8159832   	0.0882920806801913	in        	PcG19     	chr2L     	8127000   	8168000   
FBgn0031992	Acbp1     	chr2L     	8161796   	8162452   	-         	8162452   	-0.433022357365995	in        	PcG19     	chr2L     	8127000   	8168000   
FBgn0264953	Piezo     	chr2L     	8163073   	8190137   	+         	8163073   	-0.0883395842741426	in        	PcG19     	chr2L     	8127000   	8168000   
FBgn0083970	CG34134   	chr2L     	8190297   	8190781   	-         	8190781   	0.554968427804479	in        	Null60    	chr2L     	8168000   	8222000   
FBgn0031995	CG8475    	chr2L     	8190808   	8196918   	-         	8196918   	0.0994539181427399	in        	Null60    	chr2L     	8168000   	8222000   
FBgn0031996	CG8460    	chr2L     	8197193   	8198813   	+         	8197193   	0.123955733680124	in        	Null60    	chr2L     	8168000   	8222000   
FBgn0031997	PGAP5     	chr2L     	8198882   	8200652   	+         	8198882   	0.38055437343199	in        	Null60    	chr2L     	8168000   	8222000   
FBgn0031998	SLC5A11   	chr2L     	8200465   	8205132   	-         	8205132   	-0.87466418397775	in        	Null60    	chr2L     	8168000   	8222000   
FBgn0264950	asRNA:CR44119	chr2L     	8201557   	8205298   	+         	8201557   	1.26669367299516	in        	Null60    	chr2L     	8168000   	8222000   
FBgn0031999	CG8419    	chr2L     	8206171   	8209637   	+         	8206171   	-1.13032294811501	in        	Null60    	chr2L     	8168000   	8222000   
FBgn0003607	Su(var)205	chr2L     	8209626   	8211122   	-         	8211122   	-0.126862094312644	in        	Null60    	chr2L     	8168000   	8222000   
FBgn0015299	Ssb-c31a  	chr2L     	8211347   	8211938   	+         	8211347   	-0.0248056840130436	in        	Null60    	chr2L     	8168000   	8222000   
FBgn0032000	CG8372    	chr2L     	8212039   	8212902   	-         	8212902   	-0.00585639087833098	in        	Null60    	chr2L     	8168000   	8222000   
FBgn0032001	CG8360    	chr2L     	8212959   	8214135   	+         	8212959   	0.215308601809666	in        	Null60    	chr2L     	8168000   	8222000   
FBgn0032002	CG8353    	chr2L     	8214045   	8215239   	+         	8214045   	0.600214000919467	in        	Null60    	chr2L     	8168000   	8222000   
FBgn0032004	CG8292    	chr2L     	8216851   	8218017   	-         	8218017   	2.56784253692571	in        	Null60    	chr2L     	8168000   	8222000   
FBgn0032005	Snx6      	chr2L     	8218071   	8220741   	-         	8220741   	-0.0914291452755925	in        	Null60    	chr2L     	8168000   	8222000   
FBgn0032006	Pvr       	chr2L     	8220980   	8239878   	-         	8239878   	-0.171083621978961	in        	Null61    	chr2L     	8222000   	8262000   
FBgn0032008	CG14277   	chr2L     	8242486   	8243426   	+         	8242486   	5.39696435807447	in        	Null61    	chr2L     	8222000   	8262000   
FBgn0032010	CG8086    	chr2L     	8244160   	8257502   	-         	8257502   	0.582553478808811	in        	Null61    	chr2L     	8222000   	8262000   
FBgn0003502	Btk29A    	chr2L     	8258373   	8301079   	-         	8301079   	-0.0404956852826758	in        	Active45  	chr2L     	8301000   	8328000   
FBgn0261020	wol       	chr2L     	8301345   	8302985   	-         	8302985   	0.0308044000007138	in        	Active45  	chr2L     	8301000   	8328000   
FBgn0032013	Scgalpha  	chr2L     	8303429   	8305376   	+         	8303429   	-1.54868601837931	in        	Active45  	chr2L     	8301000   	8328000   
FBgn0032014	CG7840    	chr2L     	8305586   	8306741   	+         	8305586   	0.0427931675341851	in        	Active45  	chr2L     	8301000   	8328000   
FBgn0032015	Ostgamma  	chr2L     	8306696   	8308192   	-         	8308192   	-0.215244745537397	in        	Active45  	chr2L     	8301000   	8328000   
FBgn0032016	Mettl14   	chr2L     	8308427   	8309961   	+         	8308427   	0.131924897927744	in        	Active45  	chr2L     	8301000   	8328000   
FBgn0032017	CG7810    	chr2L     	8309876   	8311195   	-         	8311195   	0.172195875390846	in        	Active45  	chr2L     	8301000   	8328000   
FBgn0032018	CG7806    	chr2L     	8311399   	8317011   	+         	8311399   	0.127399195492355	in        	Active45  	chr2L     	8301000   	8328000   
FBgn0262598	mtsh      	chr2L     	8316889   	8319908   	-         	8319908   	2.57896427804022	in        	Active45  	chr2L     	8301000   	8328000   
FBgn0032020	strat     	chr2L     	8320328   	8321285   	+         	8320328   	0.194894327088027	in        	Active45  	chr2L     	8301000   	8328000   
FBgn0032021	CG7781    	chr2L     	8321280   	8325409   	-         	8325409   	2.30051529574316	in        	Active45  	chr2L     	8301000   	8328000   
FBgn0032022	CG14275   	chr2L     	8327456   	8332911   	+         	8327456   	3.07578842832277	in        	Active45  	chr2L     	8301000   	8328000   
FBgn0032024	CG14273   	chr2L     	8342695   	8344378   	+         	8342695   	5.11510178044477	in        	Null62    	chr2L     	8328000   	8362000   
FBgn0032025	CG7778    	chr2L     	8346620   	8351112   	+         	8346620   	1.17113610381505	in        	Null62    	chr2L     	8328000   	8362000   
FBgn0051901	Mur29B    	chr2L     	8352187   	8355172   	+         	8352187   	-4.28991475452596	in        	Null62    	chr2L     	8328000   	8362000   
FBgn0032026	CG7627    	chr2L     	8355678   	8362469   	-         	8362469   	0.217364755359386	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0010265	RpS13     	chr2L     	8363477   	8364662   	-         	8364662   	0.0287221705540744	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0261437	CSN8      	chr2L     	8364855   	8365663   	+         	8364855   	-0.181384927190224	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0260439	Pp2A-29B  	chr2L     	8366038   	8370090   	+         	8366038   	-0.168108625494335	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0032029	CG17292   	chr2L     	8370454   	8374250   	+         	8370454   	-0.0664260201751924	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0032030	Wdr82     	chr2L     	8374461   	8375549   	+         	8374461   	0.0720170592106606	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0032031	CG13390   	chr2L     	8375502   	8376797   	-         	8376797   	-0.0344350851523564	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0032032	CG17294   	chr2L     	8377035   	8378206   	+         	8377035   	0.851615329932013	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0027094	AlaRS     	chr2L     	8378262   	8381764   	-         	8381764   	0.116472541128058	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0032033	CG13392   	chr2L     	8381821   	8382807   	-         	8382807   	0.0294367794025351	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0032034	Rcd4      	chr2L     	8382861   	8383657   	+         	8382861   	-0.39864949454064	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0263852	Dad1      	chr2L     	8383612   	8384137   	-         	8384137   	-0.521109207638953	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0032036	CG13384   	chr2L     	8384455   	8388804   	+         	8384455   	-0.0775806693386662	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0262002	CG42820   	chr2L     	8389881   	8392398   	-         	8392398   	1.50323020726786	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0032040	CG13386   	chr2L     	8399021   	8400078   	+         	8399021   	2.86736114904432	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0051898	CG31898   	chr2L     	8400421   	8401592   	+         	8400421   	0.517238772639822	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0001084	fy        	chr2L     	8401476   	8403280   	-         	8403280   	-0.0722640440801113	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0020497	emb       	chr2L     	8403573   	8408853   	+         	8403573   	-0.121646950195949	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0014417	CG13397   	chr2L     	8408888   	8411868   	-         	8411868   	-0.384921292349592	in        	Active46  	chr2L     	8362000   	8415000   
FBgn0032042	CG13398   	chr2L     	8412144   	8415256   	-         	8415256   	-0.37174907036014	in        	Active47  	chr2L     	8415000   	8458000   
FBgn0027932	Akap200   	chr2L     	8415690   	8431297   	+         	8415690   	0.0250581231024531	in        	Active47  	chr2L     	8415000   	8458000   
FBgn0001137	grk       	chr2L     	8431086   	8433598   	-         	8433598   	0.503702422260296	in        	Active47  	chr2L     	8415000   	8458000   
FBgn0027490	D12       	chr2L     	8434058   	8437365   	-         	8437365   	0.150818227897537	in        	Active47  	chr2L     	8415000   	8458000   
FBgn0043002	Chrac-14  	chr2L     	8437405   	8437996   	+         	8437405   	0.0499948515434337	in        	Active47  	chr2L     	8415000   	8458000   
FBgn0002887	mus201    	chr2L     	8438169   	8442342   	+         	8438169   	0.616571903233952	in        	Active47  	chr2L     	8415000   	8458000   
FBgn0051897	CG31897   	chr2L     	8442447   	8445815   	+         	8442447   	2.05606666437006	in        	Active47  	chr2L     	8415000   	8458000   
FBgn0027780	Aasdh     	chr2L     	8445861   	8449576   	-         	8449576   	-0.204663439443922	in        	Active47  	chr2L     	8415000   	8458000   
FBgn0026718	Agpat2    	chr2L     	8449691   	8463994   	-         	8463994   	-0.187124569989053	in        	Active47  	chr2L     	8415000   	8458000   
FBgn0285971	prg       	chr2L     	8464488   	8466694   	+         	8464488   	-0.0198260072044153	in        	Active48  	chr2L     	8464000   	8483000   
FBgn0262029	d         	chr2L     	8466817   	8488671   	+         	8466817   	-0.0523355486632304	in        	Active48  	chr2L     	8464000   	8483000   
FBgn0053194	CheA29a   	chr2L     	8477349   	8478088   	+         	8477349   	0.25837852240029	in        	Active48  	chr2L     	8464000   	8483000   
FBgn0264340	CG43796   	chr2L     	8482374   	8483005   	+         	8482374   	0.153546298347955	in        	Active48  	chr2L     	8464000   	8483000   
FBgn0263489	lncRNA:CR43604	chr2L     	8485725   	8485925   	+         	8485725   	-0.47549034972205	in        	Null63    	chr2L     	8483000   	8528000   
FBgn0032047	CG13088   	chr2L     	8488981   	8490546   	+         	8488981   	0.179608736823949	in        	Null63    	chr2L     	8483000   	8528000   
FBgn0032049	Bace      	chr2L     	8494893   	8496307   	-         	8496307   	6.05869025577809	in        	Null63    	chr2L     	8483000   	8528000   
FBgn0032050	CG13096   	chr2L     	8509069   	8511866   	-         	8511866   	-0.0508358866363731	in        	Null63    	chr2L     	8483000   	8528000   
FBgn0032051	CG13097   	chr2L     	8512174   	8514868   	-         	8514868   	-0.0693358892320338	in        	Null63    	chr2L     	8483000   	8528000   
FBgn0032052	PIG-U     	chr2L     	8515096   	8516755   	+         	8515096   	-0.126758408255287	in        	Null63    	chr2L     	8483000   	8528000   
FBgn0032053	mRpL51    	chr2L     	8516753   	8517380   	-         	8517380   	-0.215249808737912	in        	Null63    	chr2L     	8483000   	8528000   
FBgn0032054	Uba4      	chr2L     	8517411   	8519176   	+         	8517411   	-0.113195150615269	in        	Null63    	chr2L     	8483000   	8528000   
FBgn0032055	Sgp       	chr2L     	8519690   	8521809   	+         	8519690   	1.99619779217375	in        	Null63    	chr2L     	8483000   	8528000   
FBgn0016122	Acer      	chr2L     	8521933   	8525740   	+         	8521933   	-0.231473646614326	in        	Null63    	chr2L     	8483000   	8528000   
FBgn0028394	CG17834   	chr2L     	8529141   	8541439   	+         	8529141   	-0.861114583656975	1141out   	Null63    	chr2L     	8483000   	8528000   
FBgn0011259	Sema1a    	chr2L     	8542147   	8672041   	+         	8542147   	-0.188576823050507	in        	Null65    	chr2L     	8596000   	8729000   
FBgn0264437	lncRNA:CR43855	chr2L     	8590370   	8594489   	-         	8594489   	1.21030214923931	1511out   	Null65    	chr2L     	8596000   	8729000   
FBgn0001114	Glt       	chr2L     	8672698   	8676804   	+         	8672698   	-0.140865085102904	in        	Null65    	chr2L     	8596000   	8729000   
FBgn0032058	CG9289    	chr2L     	8681325   	8684376   	-         	8684376   	3.5901186303683	in        	Null65    	chr2L     	8596000   	8729000   
FBgn0032059	PrBP      	chr2L     	8684823   	8685955   	-         	8685955   	0.100831669596811	in        	Null65    	chr2L     	8596000   	8729000   
FBgn0260861	Trs23     	chr2L     	8686231   	8687052   	+         	8686231   	-0.436583737280972	in        	Null65    	chr2L     	8596000   	8729000   
FBgn0004914	Hnf4      	chr2L     	8687226   	8709611   	-         	8709611   	-0.0217192969738469	in        	Null65    	chr2L     	8596000   	8729000   
FBgn0032061	CG9314    	chr2L     	8705572   	8707527   	+         	8705572   	0.643026605255398	in        	Null65    	chr2L     	8596000   	8729000   
FBgn0003209	raw       	chr2L     	8709880   	8740660   	-         	8740660   	0.224513244635734	in        	PcG20     	chr2L     	8740000   	8886000   
FBgn0029123	SoxN      	chr2L     	8825645   	8829670   	+         	8825645   	0.70660806453661	in        	PcG20     	chr2L     	8740000   	8886000   
FBgn0261630	CG42713   	chr2L     	8891440   	8892180   	+         	8891440   	-4.75214194946337	in        	Active50  	chr2L     	8886000   	8951000   
FBgn0085427	CG34398   	chr2L     	8898786   	8933594   	+         	8898786   	-0.112902572644547	in        	Active50  	chr2L     	8886000   	8951000   
FBgn0032074	Tsp29Fa   	chr2L     	8933962   	8936096   	+         	8933962   	0.271523174822343	in        	Active50  	chr2L     	8886000   	8951000   
FBgn0032075	Tsp29Fb   	chr2L     	8937390   	8939743   	+         	8937390   	-2.77910479602947	in        	Active50  	chr2L     	8886000   	8951000   
FBgn0032076	Argl      	chr2L     	8939725   	8942105   	-         	8942105   	-0.296215690632824	in        	Active50  	chr2L     	8886000   	8951000   
FBgn0032077	CG9515    	chr2L     	8941945   	8943257   	-         	8943257   	0.357310141029882	in        	Active50  	chr2L     	8886000   	8951000   
FBgn0032078	C1GalTA   	chr2L     	8943455   	8951216   	-         	8951216   	0.0374613751315476	in        	Het4      	chr2L     	8951000   	9003000   
FBgn0032079	CG31886   	chr2L     	8953481   	8959051   	-         	8959051   	2.78938597907185	in        	Het4      	chr2L     	8951000   	9003000   
FBgn0032084	CG13101   	chr2L     	8977834   	8984872   	-         	8984872   	-1.13386303140505	in        	Het4      	chr2L     	8951000   	9003000   
FBgn0040963	CG18662   	chr2L     	8980659   	8981432   	+         	8980659   	0.690907208102775	in        	Het4      	chr2L     	8951000   	9003000   
FBgn0011705	rost      	chr2L     	8985936   	8989539   	-         	8989539   	-0.515326598170207	in        	Het4      	chr2L     	8951000   	9003000   
FBgn0013746	alien     	chr2L     	8993818   	8997379   	-         	8997379   	-0.102213556060669	in        	Het4      	chr2L     	8951000   	9003000   
FBgn0040964	CG18661   	chr2L     	8997605   	8998544   	+         	8997605   	-0.168693979686535	in        	Het4      	chr2L     	8951000   	9003000   
FBgn0015316	Try29F    	chr2L     	8998537   	8999816   	+         	8998537   	0.436253124870649	in        	Het4      	chr2L     	8951000   	9003000   
FBgn0032087	CG9568    	chr2L     	9010583   	9011358   	+         	9010583   	-1.77338577529658	in        	Null66    	chr2L     	9008000   	9115000   
FBgn0032088	CG13102   	chr2L     	9012188   	9014149   	+         	9012188   	-1.72742643212916	in        	Null66    	chr2L     	9008000   	9115000   
FBgn0032089	Rcd-1r    	chr2L     	9012885   	9014068   	-         	9014068   	5.74239093123378	in        	Null66    	chr2L     	9008000   	9115000   
FBgn0052982	CG32982   	chr2L     	9125737   	9163721   	+         	9125737   	0.0895868119908878	in        	Active51  	chr2L     	9117000   	9166000   
FBgn0032100	CG13108   	chr2L     	9164235   	9165426   	+         	9164235   	1.0174886877439	in        	Active51  	chr2L     	9117000   	9166000   
FBgn0032101	CG9586    	chr2L     	9165421   	9166514   	-         	9166514   	-0.141560663291611	in        	Active52  	chr2L     	9166000   	9185000   
FBgn0041092	tai       	chr2L     	9166778   	9250211   	+         	9166778   	-0.0841497311532421	in        	Active52  	chr2L     	9166000   	9185000   
FBgn0032105	borr      	chr2L     	9251472   	9253118   	-         	9253118   	0.105852918862547	in        	Null68    	chr2L     	9244000   	9269000   
FBgn0267252	Ggamma30A 	chr2L     	9256563   	9302494   	+         	9256563   	1.52950603228025	in        	Null68    	chr2L     	9244000   	9269000   
FBgn0010314	Cks30A    	chr2L     	9330763   	9331981   	+         	9330763   	0.304668510614926	in        	Null69    	chr2L     	9269000   	9414000   
FBgn0026439	Eaat1     	chr2L     	9333567   	9341925   	+         	9333567   	-0.607457859008056	in        	Null69    	chr2L     	9269000   	9414000   
FBgn0012036	Aldh      	chr2L     	9387389   	9391567   	+         	9387389   	0.225243614597439	in        	Null69    	chr2L     	9269000   	9414000   
FBgn0032116	Mco1      	chr2L     	9416588   	9426342   	+         	9416588   	-0.748293783519339	in        	Het5      	chr2L     	9414000   	9446000   
FBgn0000640	Fbp2      	chr2L     	9426784   	9427917   	+         	9426784   	-2.50341841085144	in        	Het5      	chr2L     	9414000   	9446000   
FBgn0262036	CG42847   	chr2L     	9427870   	9428740   	+         	9427870   	-2.91762321974305	in        	Het5      	chr2L     	9414000   	9446000   
FBgn0032117	FucTB     	chr2L     	9428669   	9431052   	-         	9431052   	0.247793003864478	in        	Het5      	chr2L     	9414000   	9446000   
FBgn0011232	scat      	chr2L     	9431405   	9435341   	+         	9431405   	-0.051493481696971	in        	Het5      	chr2L     	9414000   	9446000   
FBgn0002973	numb      	chr2L     	9437469   	9464184   	+         	9437469   	-0.193266684256026	in        	Het5      	chr2L     	9414000   	9446000   
FBgn0004868	Gdi       	chr2L     	9491176   	9494876   	-         	9494876   	-0.285445244834055	in        	Active54  	chr2L     	9485000   	9522000   
FBgn0032120	CG33298   	chr2L     	9495474   	9520696   	+         	9495474   	-0.036338307257597	in        	Active54  	chr2L     	9485000   	9522000   
FBgn0032123	Oatp30B   	chr2L     	9521210   	9540060   	+         	9521210   	-0.286209995851374	in        	Active54  	chr2L     	9485000   	9522000   
FBgn0032122	CG31883   	chr2L     	9528515   	9529648   	+         	9528515   	2.01548157692118	6515out   	NA        	NA        	NA        	NA        
FBgn0032124	CG17855   	chr2L     	9540523   	9542480   	+         	9540523   	0.306893301326122	in        	Null71    	chr2L     	9539000   	9566000   
FBgn0264998	lncRNA:CR44149	chr2L     	9568155   	9568785   	-         	9568785   	-0.996437664041532	in        	PcG21     	chr2L     	9566000   	9621000   
FBgn0032130	brwl      	chr2L     	9568890   	9573572   	+         	9568890   	-0.218383810575814	in        	PcG21     	chr2L     	9566000   	9621000   
FBgn0028479	Mtpalpha  	chr2L     	9573563   	9576769   	-         	9576769   	-0.297823297866619	in        	PcG21     	chr2L     	9566000   	9621000   
FBgn0051709	CG31709   	chr2L     	9578120   	9579638   	-         	9579638   	0.603986630541471	in        	PcG21     	chr2L     	9566000   	9621000   
FBgn0014179	gcm       	chr2L     	9579498   	9581745   	-         	9581745   	1.09227040370841	in        	PcG21     	chr2L     	9566000   	9621000   
FBgn0032132	CG4382    	chr2L     	9598880   	9600872   	-         	9600872   	0.200323306226287	in        	PcG21     	chr2L     	9566000   	9621000   
FBgn0040070	Trx-2     	chr2L     	9613166   	9616404   	+         	9613166   	-0.0163168387603252	in        	PcG21     	chr2L     	9566000   	9621000   
