seqnames	start	end	width	strand	Conc	Conc_WD_SUMOnub	Conc_WD_NOnub	Fold	p.value	FDR	WD_SUMOnub1	WD_SUMOnub2	WD_SUMOnub3	WD_NOnub1	WD_NOnub2	WD_NOnub3
chr3L	377555	378471	917	*	6.4729055750778	5.17263743336224	7.14551129637984	-1.89475716721994	1.74523850535189e-12	1.16834633044644e-11	32.5	47.27	28.43	163.67	135.5	125.58
chr2R	21575478	21576535	1058	*	6.73103407909095	5.17726995271393	7.46167821356554	-2.2292764039766	1.75372896392064e-12	1.16834633044644e-11	50.88	39.05	18.63	195.15	194.22	139.46
chrX	18692812	18693514	703	*	6.15330340750043	4.49385593163944	6.90471540003766	-2.28518215088966	1.82289635947874e-12	1.20610813921675e-11	16.96	28.09	22.55	132.2	140.02	87.24
chr3L	432298	433468	1171	*	6.81935315358978	5.75497484868663	7.42515213831384	-1.66567540933973	1.92943578028906e-12	1.26791494133281e-11	62.18	39.05	60.78	173.11	185.18	157.3
chr2R	9194074	9195180	1107	*	6.00890868874075	4.54370768122525	6.72068103075166	-2.14820641136715	1.99788093022824e-12	1.30402228283816e-11	24.02	18.5	27.45	102.3	91.84	122.27
chr3L	19663054	19664510	1457	*	6.98855763370834	6.17374718338142	7.50610226320641	-1.33135742613585	2.11536980567703e-12	1.37144109549262e-11	76.31	72.62	67.64	168.39	180.67	196.3
chr3R	29829083	29829844	762	*	6.25552051054105	4.46125871855266	7.03093430153661	-2.50777812374373	2.49333806098327e-12	1.60570971127323e-11	28.26	12.33	25.49	143.21	156.58	92.53
chr2R	14457818	14458746	929	*	6.64246286250474	5.37151704110756	7.30750263604715	-1.91696543522724	3.25399682327171e-12	2.08169598098045e-11	56.53	43.16	24.51	146.36	165.61	163.25
chr2R	12975067	12976917	1851	*	7.28477996550074	6.47996495492064	7.79833592036846	-1.31414207086177	5.30519927654407e-12	3.37159375075103e-11	84.79	78.1	104.89	226.62	203.25	237.94
chr3R	31383529	31384541	1013	*	7.14683162143688	5.69107089547888	7.85650798029815	-2.11338752476378	5.51524115364722e-12	3.48217186563608e-11	63.6	40.42	50.98	269.11	286.06	140.12
chr3L	12653002	12654515	1514	*	6.95211967591279	5.96636774909047	7.53230137659511	-1.56936070747773	6.03152950111419e-12	3.78341395978981e-11	72.07	45.9	69.6	199.87	167.12	188.37
chr3R	13875355	13877792	2438	*	7.7229462929731	6.88419224062157	8.24989023842304	-1.36989810867808	8.10708625430743e-12	5.05254536881353e-11	155.45	104.82	94.11	306.89	305.63	300.73
chr2R	14212133	14213273	1141	*	6.85068005743593	5.68845792194751	7.48590158403021	-1.79117964518716	9.57867870011766e-12	5.93141257968824e-11	70.66	36.99	47.05	196.72	189.7	151.36
chr3R	17703356	17704478	1123	*	6.52888541243734	5.27357708480038	7.18981035107995	-1.86299929375777	1.01604191683256e-11	6.25157001057486e-11	28.26	32.88	54.9	133.77	164.11	140.12
chr3R	7036866	7038010	1145	*	7.00292441592135	5.88419295840407	7.62538763502259	-1.73231729684654	1.08373897269281e-11	6.6258977697548e-11	65.01	37.68	74.5	199.87	194.22	198.28
chr2R	12963591	12965027	1437	*	6.55441677960639	5.55025955172552	7.14076236513243	-1.59078524984621	1.69620492621789e-11	1.0305245023437e-10	56.53	36.99	47.05	152.66	138.51	132.19
chr2R	11474875	11476241	1367	*	6.84612577367021	5.96293783650518	7.38995017543751	-1.40023445283519	1.73946039945298e-11	1.05019921616973e-10	50.88	63.71	72.54	166.82	156.58	179.78
chr3R	11868697	11870547	1851	*	8.19185715012706	7.21051541054192	8.77054621915502	-1.54680292863014	1.82060582137975e-11	1.09236349282785e-10	145.56	137.02	161.75	339.93	373.38	596.83
chr3R	23280487	23281423	937	*	7.08086526429068	5.69689779492244	7.77403894450065	-2.01681082844473	1.86241613628012e-11	1.11055184422629e-10	55.12	46.59	53.92	236.07	289.07	131.53
chrX	6779793	6780294	502	*	4.80643474376171	2.04334225829197	5.6960578185826	-3.31058180410081	1.96084630975273e-11	1.16207210749763e-10	4.24	6.17	1.96	50.36	60.22	44.94
chr3R	30272613	30273257	645	*	5.37989337256244	0	6.36852727758763	-5.34950948357479	1.99018916014991e-11	1.17226995652732e-10	0	0	1.96	83.41	85.82	78.65
chrX	18665799	18666298	500	*	6.05539180609028	3.8498372987481	6.88985925414896	-2.84631191610456	2.36120403964087e-11	1.38237763775338e-10	15.55	19.87	7.84	102.3	176.15	77.33
chr3L	21130556	21131601	1046	*	7.51173917451492	6.1745022736389	8.19361303297815	-1.98745885754538	2.62397882457048e-11	1.52696599068378e-10	105.99	47.96	62.74	313.18	352.3	212.82
chr3R	16023804	16024437	634	*	5.64651485481353	4.090635437895	6.37759281069286	-2.25446430736906	2.67395799023222e-11	1.54673258596666e-10	22.61	15.76	12.74	77.11	79.79	92.53
chrX	6698650	6699763	1114	*	7.03149519756454	5.70553971437261	7.71057219552264	-1.97336686046673	3.19777251513035e-11	1.83871919619995e-10	66.42	34.25	55.88	187.28	278.53	162.59
chrX	9686461	9687082	622	*	5.06503700076617	3.11063230241145	5.86575906227449	-2.62704631853678	3.52981185300265e-11	2.01763210059205e-10	8.48	9.59	7.84	53.51	52.69	68.74
chr3L	7643200	7644067	868	*	6.95039505368265	5.53803015228091	7.65021731473217	-2.08326026747171	3.59131664477693e-11	2.04071286991442e-10	62.18	23.29	53.92	221.9	206.26	174.49
chr3L	12613386	12614050	665	*	5.28245176633772	3.6385133319985	6.03092866444152	-2.29075691617103	5.40421556594482e-11	3.05290774076181e-10	11.31	12.33	13.72	66.1	69.26	60.81
chr2L	3293355	3295020	1666	*	7.40998935336108	5.5663886214465	8.19355034562362	-2.53059039569978	5.71212017430247e-11	3.20808609789313e-10	73.49	29.46	39.21	358.82	373.38	146.07
chr2L	5296404	5297490	1087	*	6.65389149213194	5.70063290953739	7.22293082868962	-1.47866493330327	6.65219438333021e-11	3.71446229728149e-10	42.4	54.81	58.82	133.77	171.63	142.76
chr3R	16958119	16958776	658	*	5.46836857905382	3.82747565331837	6.21626469008221	-2.26378317195879	6.85593500943786e-11	3.80523369629592e-10	12.72	17.13	12.74	73.97	84.31	64.77
chr2L	4030036	4031971	1936	*	8.02411707424898	7.17660053396985	8.55444699209057	-1.36188496608662	6.89353930488392e-11	3.80523369629592e-10	132.84	110.98	190.18	379.28	398.97	349.64
chr3R	10664874	10667435	2562	*	7.43515972601072	6.72031724737594	7.91100037089335	-1.19451798013246	7.37385963246287e-11	4.0472434119086e-10	113.06	85.63	117.64	236.07	245.41	240.58
chr2L	10800796	10802509	1714	*	8.08436337321924	6.56097509173998	8.80869236487257	-2.18158564269075	8.31824520594928e-11	4.53978806155198e-10	127.19	60.97	95.09	511.48	593.19	240.58
chr3R	23292730	23294268	1539	*	7.17262387974213	6.32484454872469	7.70305490480391	-1.36876737785978	9.37624631300713e-11	5.08845726874432e-10	90.45	86.32	63.72	174.69	230.35	220.09
chr2R	25051384	25053152	1769	*	7.53016740994775	6.61035619323382	8.08737829798989	-1.48037441200516	9.49149766408881e-11	5.12222723101105e-10	122.95	69.19	100.97	234.49	296.59	284.87
chr3R	21446266	21447591	1326	*	6.93206369290668	5.97288694887274	7.50315764097972	-1.54128411158793	1.04580317491371e-10	5.61247703870355e-10	84.79	50.7	52.94	160.52	192.71	191.01
chr3R	16811346	16812329	984	*	6.22016905956722	4.9717403590352	6.87926576222228	-1.8929302856101	1.09141343980897e-10	5.82489161798599e-10	39.57	21.24	33.33	122.75	127.97	102.45
chr3R	31060972	31062954	1983	*	7.28381898723902	6.48310886342796	7.79572564768821	-1.29609599101124	1.28779870694003e-10	6.83523929068169e-10	74.9	85.63	107.83	192	233.36	241.24
chr2L	16485907	16486762	856	*	6.52835555965326	5.29052622103866	7.18461381487192	-1.8892213376446	1.52585026285721e-10	8.05448827278723e-10	48.05	23.29	46.07	143.21	127.97	165.24
chr2L	8825048	8826273	1226	*	6.67294603453784	5.70877838554208	7.24576388008143	-1.53458769110978	1.59115412409762e-10	8.31531224939857e-10	55.12	39.05	62.74	136.92	161.09	157.3
chr2L	161677	162084	408	*	5.37828354709088	3.76628880837405	6.12059533462887	-2.31354745237997	1.59247698358047e-10	8.31531224939857e-10	15.55	9.59	15.68	59.8	72.27	76.67
chr2L	12617566	12618451	886	*	6.3335099202021	5.19910828675357	6.96062755145359	-1.69791815434983	1.62252776012116e-10	8.426676431597e-10	33.92	45.9	30.39	144.79	109.91	118.97
chr3R	18120891	18122330	1440	*	7.04578192066095	6.18602184646457	7.58079551605783	-1.37590283765744	2.1094878059873e-10	1.08971402170253e-09	65.01	60.29	93.13	188.85	201.74	183.74
chr3R	29555349	29556738	1390	*	7.15985147789463	5.94471432183775	7.80994311694977	-1.79749644279008	2.37416218378883e-10	1.21991524975532e-09	33.92	61.66	89.21	228.2	245.41	199.6
chr3R	21378200	21379286	1087	*	6.57219825854893	5.5778426185306	7.15527438795652	-1.56126682800315	2.66146714949299e-10	1.36030543196308e-09	45.22	36.31	61.76	146.36	138.51	142.76
chr2R	13027178	13027596	419	*	4.70828536141908	2.2757171305295	5.56806778144871	-3.05873335455537	3.43319466654249e-10	1.74550844625266e-09	4.24	3.43	6.86	56.66	46.67	39
chr3R	16036584	16037228	645	*	5.11953733824522	2.92310764520154	5.95289144595778	-2.96230352011138	3.79705028152836e-10	1.92039296961068e-09	14.13	2.74	5.88	69.25	61.73	54.86
chr2L	6019747	6020314	568	*	5.71191942137486	4.41295566912305	6.38419266732204	-1.93079902142387	4.05155182302955e-10	2.03843701096174e-09	21.2	19.18	23.53	75.54	85.82	89.23
chr2L	5403328	5404207	880	*	6.46675806575183	5.50173829488625	7.03986943997633	-1.53671846405748	4.25514073988488e-10	2.12977510607709e-09	55.12	37.68	43.13	116.46	152.06	126.24
chr3R	29519056	29519635	580	*	5.31998832558812	3.68855192126796	6.06607171465617	-2.28802101621929	4.28848901197312e-10	2.13540226060105e-09	12.72	10.28	15.68	80.26	63.23	57.5
chr3R	22133473	22134103	631	*	7.0488994585891	5.62366778509403	7.75168148407932	-2.06593601651915	4.78976759412982e-10	2.3727771773997e-09	59.36	35.62	52.94	236.07	287.56	122.94
chr2R	24369388	24370443	1056	*	6.57723529405602	5.69508390667716	7.12067401262172	-1.38440880275544	5.25536725897063e-10	2.59014529192124e-09	45.22	51.38	58.82	146.36	147.54	123.6
chr3L	3624655	3626272	1618	*	6.89549723522167	6.10465691764582	7.40341126798164	-1.29953970604743	5.40171428958628e-10	2.6487593927616e-09	77.73	56.18	72.54	162.1	185.18	160.61
chr3R	6791315	6792191	877	*	6.28896317370844	5.03632286723871	6.94918040495507	-1.82779015967942	5.58116523859834e-10	2.72293213155859e-09	19.79	33.57	45.09	127.48	135.5	107.73
chr3L	6964263	6965465	1203	*	7.369145084871	6.1617043353379	8.01711701547465	-1.8065762901785	6.00796400114906e-10	2.91642875633668e-09	77.73	59.6	77.44	294.3	328.21	154.66
chr3R	16403313	16404429	1117	*	7.06819529411308	6.13123039055342	7.63151883623995	-1.49864578895055	6.24893810712467e-10	3.01823710574122e-09	77.73	47.27	85.29	203.02	183.68	208.2
chr3R	7966353	7967780	1428	*	6.75857002178381	5.4810750228082	7.42531648573044	-1.90127309696106	7.66344692741612e-10	3.68302971735521e-09	45.22	26.03	62.74	188.85	186.69	140.12
chr3L	14131478	14132314	837	*	6.12750394796863	4.96169342092052	6.76375614598221	-1.79711847328585	7.702640303298e-10	3.68353986781478e-09	40.98	26.03	26.47	89.7	121.95	114.34
chr2R	8018574	8019322	749	*	5.87764581435366	4.43384755096001	6.5846419917797	-2.10215746517491	8.94880946264566e-10	4.25839898567276e-09	29.68	18.5	16.67	96	115.93	76.01
chr2R	10582654	10583505	852	*	5.90951111976669	4.36900542880553	6.6374185627731	-2.1816067314821	9.33797733311088e-10	4.40584258429379e-09	22.61	17.81	21.57	105.44	126.47	66.76
chr3R	29520091	29520606	516	*	4.93367887631652	2.70006736692724	5.77152059052726	-2.95007543097593	9.34987297909139e-10	4.40584258429379e-09	9.89	2.74	6.86	56.66	66.24	40.98
chrX	3744572	3745370	799	*	6.02376652556534	4.70234030826843	6.70171293399582	-1.98506136486566	9.85798335233947e-10	4.62272423221356e-09	33.92	15.76	28.43	97.57	112.92	101.79
chr2L	2887777	2888879	1103	*	6.79475127604379	5.41134349853808	7.48779228665527	-2.01221530096666	1.06517735540461e-09	4.97082765855486e-09	50.88	35.62	41.17	195.15	240.89	102.45
chrX	3027495	3028449	955	*	6.15040512476652	4.37508704717448	6.92260337485996	-2.48418684634475	1.21657336313264e-09	5.65004744608718e-09	38.16	12.33	11.76	130.62	135.5	97.82
chr2L	11175583	11176576	994	*	6.22973439275458	5.15475620874629	6.83884799933718	-1.65775786230195	1.37876012898306e-09	6.37264251003655e-09	39.57	28.09	39.21	119.61	127.97	95.84
chr3R	8962823	8963777	955	*	7.73334016611716	6.54115599827996	8.37706727467069	-1.7943981465765	1.49708493313631e-09	6.88659069242704e-09	115.88	66.45	97.05	387.15	408	202.25
chr2L	13776830	13777733	904	*	6.45135670384893	5.05330591938288	7.14784784376096	-2.05098977375625	1.51295595546866e-09	6.92661352124514e-09	49.46	24.66	25.49	155.8	173.14	96.5
chr2L	3534169	3534686	518	*	5.68325443686116	4.35823095276759	6.36209915267742	-1.99139962573419	1.53054811799e-09	6.97410133008652e-09	26.85	15.07	19.61	83.41	76.78	86.58
chr2R	1513284	1514627	1344	*	4.35913470603551	5.35913470603551	0	5.22813538953991	1.56951863567049e-09	7.11809860120985e-09	43.81	47.96	31.37	0	0	0
chr2L	5249928	5250555	628	*	5.43887530970009	3.79157899517003	6.18799087553432	-2.24389163461708	2.14728150881046e-09	9.69286886687338e-09	7.07	17.81	16.67	72.39	61.73	84.6
chr3L	19041025	19042309	1285	*	6.62738591261838	5.65540468169413	7.20288658125108	-1.49696961853747	2.24754261884598e-09	1.0098261254908e-08	45.22	52.07	53.92	138.49	185.18	118.31
chr3R	23279125	23279734	610	*	5.72059175732123	3.28483707575717	6.58069902705974	-3.07834720558122	2.31322257311535e-09	1.03452453964325e-08	18.37	8.91	1.96	111.74	115.93	59.48
chrX	18506791	18507577	787	*	6.50354026627346	5.19239533321434	7.17890374044956	-1.9628762768784	2.3728204356108e-09	1.05628780682029e-08	59.36	28.77	21.57	154.23	153.57	126.9
chr2R	21541948	21543169	1222	*	6.03488354713703	4.84781161364301	6.67717539068486	-1.74108649527803	2.44039664363262e-09	1.08138676960969e-08	19.79	34.25	32.35	113.31	97.86	95.84
chr3R	23193227	23193897	671	*	5.65467660549599	4.22752487524354	6.35789752846346	-2.03817639752711	2.45534527939461e-09	1.08304271228091e-08	15.55	17.13	23.53	100.72	75.28	70.06
chr3L	1746384	1747201	818	*	6.84283343136544	5.70633324200585	7.47056942278447	-1.76060431736639	2.50287036592627e-09	1.09898762431126e-08	69.25	31.51	55.88	149.51	167.12	215.47
chr3R	21499343	21500416	1074	*	6.8921044956587	6.07305060462532	7.41133082159446	-1.35077544020453	2.56777468066841e-09	1.12238476992112e-08	89.03	54.12	58.82	171.54	168.62	170.52
chr2R	13025301	13026489	1189	*	6.25096101479563	5.18878918475685	6.85606599527625	-1.64458434943628	2.64437067341277e-09	1.15065859032286e-08	39.57	26.72	43.13	127.48	118.94	101.12
chr2L	12655578	12656707	1130	*	6.23128620682551	4.94909650187934	6.89925009996676	-1.86490894762893	2.95235652000568e-09	1.2789131831056e-08	19.79	28.77	44.11	143.21	114.42	100.46
chr2L	9019312	9020041	730	*	6.02329341159019	4.44426181896628	6.75906989268373	-2.19614804283387	3.17949029482905e-09	1.37115518964503e-08	22.61	26.03	16.67	110.16	146.04	68.74
chr2R	11493183	11494265	1083	*	6.32546188869503	5.26000928251842	6.93159826959481	-1.60811311460998	3.2724537867997e-09	1.404973492466e-08	28.26	37.68	49.01	119.61	141.52	105.09
chr2R	11542185	11543195	1011	*	6.06786007326427	5.04950830066034	6.65888831928105	-1.59221717635374	3.63020546292626e-09	1.55167189256052e-08	33.92	30.14	35.29	105.44	87.32	110.38
chr2L	2466863	2467463	601	*	5.5913210848166	4.13153787175389	6.30189258808115	-2.04019517672901	3.74348349344626e-09	1.59304187430356e-08	12.72	21.24	18.63	91.28	81.3	64.11
chr2R	13028662	13029063	402	*	4.75740131776507	2.5665528215031	5.59007054476473	-2.71804882221799	4.03114716208219e-09	1.70793340288219e-08	1.41	7.54	8.82	50.36	51.19	42.96
chr3R	28546934	28547670	737	*	5.85709036988525	4.27464750447397	6.59355150850023	-2.20964438341077	4.4126174372711e-09	1.86139233380082e-08	15.55	15.07	27.45	89.7	127.97	72.04
chr3R	23141844	23142445	602	*	5.90845654711128	4.51649799714255	6.60351751194657	-2.03556199401544	4.70881286098893e-09	1.97770140161535e-08	22.61	13.7	32.35	103.87	93.34	94.51
chr3R	23200800	23201842	1043	*	6.73200601893199	5.7093099601638	7.32445521612849	-1.61651694742777	4.82761162127797e-09	2.0188194052617e-08	63.6	33.57	59.8	135.34	161.09	184.4
chr3R	16763545	16764718	1174	*	7.07663583431182	6.25546685804746	7.59669780422711	-1.33807469522753	4.92711512694907e-09	2.05154879854862e-08	86.21	82.21	60.78	173.11	171.63	235.96
chr2R	9988079	9988855	777	*	6.21474464451229	5.30729141664966	6.76749020669876	-1.43112285123905	6.32029912715949e-09	2.62034719177514e-08	35.33	38.36	45.09	100.72	114.42	111.7
chr3R	10616575	10617217	643	*	5.96791969204671	4.10925892454026	6.75390362055711	-2.43345933474181	6.35244634285696e-09	2.622420156923e-08	5.65	29.46	16.67	116.46	90.33	116.99
chr2L	7306148	7307589	1442	*	7.06449715234814	6.16862721951095	7.61300969682442	-1.44074191369368	6.63669026594538e-09	2.72810331783117e-08	96.1	52.07	67.64	209.31	210.78	167.22
chr3R	16037869	16038590	722	*	6.52682618305723	5.61024166122499	7.08287618284192	-1.47515615846507	6.94072117175086e-09	2.84099010674209e-08	59.36	34.25	52.94	146.36	129.48	130.87
chr3R	13063737	13064670	934	*	6.90837096183936	6.03905724723346	7.44700130746472	-1.36602720697657	7.28897032543006e-09	2.97094739846643e-08	49.46	73.3	74.5	203.02	140.02	180.44
chr2R	8797311	8798060	750	*	5.94998280310092	3.13623753209425	6.84355799405535	-3.34110335959879	7.43575381755271e-09	3.01804125535963e-08	7.07	0.69	18.63	124.33	130.98	89.23
chr3R	4883890	4885314	1425	*	6.49792698776573	5.4906945331729	7.08529227185846	-1.54189118561204	8.82347450550265e-09	3.56630810557137e-08	29.68	42.47	62.74	140.07	132.49	134.83
chrX	3742998	3743770	773	*	5.40055886567216	3.98567958597409	6.10096206913801	-2.06235140343015	9.12111828216724e-09	3.67125010857231e-08	16.96	10.96	19.61	80.26	60.22	65.43
chr2R	21521873	21522826	954	*	6.48172707432644	5.61406279502902	7.01973534343159	-1.36525465221987	9.76779837322145e-09	3.91522540602984e-08	39.57	46.59	60.78	127.48	141.52	120.29
chrX	16147757	16148035	279	*	4.82363877766954	2.12900105896787	5.70767700539633	-3.10440415301803	9.93622777959435e-09	3.96627935334221e-08	0	8.22	4.9	36.2	51.19	69.4
chr3R	26871744	26872484	741	*	5.9326018103291	4.21928527115805	6.69392265280492	-2.36446254966859	1.54382062542173e-08	6.13716347389873e-08	28.26	17.81	9.8	129.05	117.43	64.11
chr3R	23294651	23295844	1194	*	6.70812432297663	5.925152937059	7.21282750675976	-1.30044051134994	1.56166239176536e-08	6.18264701002186e-08	69.25	49.33	63.72	146.36	129.48	169.2
chr3R	8477643	8478058	416	*	5.34336664714245	4.05200761217081	6.01369399725541	-1.93528897610629	1.65427604909481e-08	6.52257413643098e-08	19.79	12.33	17.65	59.8	69.26	64.77
chr3L	12577103	12577932	830	*	5.20197288203337	3.6913408604493	5.92360151881393	-2.12795960397701	1.68627733668933e-08	6.62172320017028e-08	15.55	14.39	8.82	66.1	67.75	48.25
chr2L	1668351	1670180	1830	*	7.198510993262	6.50418392474064	7.66527120787346	-1.15274991316587	1.801477256428e-08	7.04545356157673e-08	105.99	78.1	88.23	220.33	216.8	171.85
chr2L	2448600	2449260	661	*	5.62995275039467	4.07679564227397	6.36047225088699	-2.20448489629216	2.21340706060588e-08	8.62157750219873e-08	15.55	9.59	25.49	89.7	66.24	90.55
chrX	6001013	6001576	564	*	5.18775185042674	3.76171546696315	5.89071790845323	-2.04865184602185	2.46303164028402e-08	9.55537576110186e-08	11.31	13.7	15.68	51.93	52.69	73.36
chr2L	18312232	18312783	552	*	5.2929436886137	3.98985386465431	5.96626733841735	-1.93750098930877	2.57436549773199e-08	9.94734828323643e-08	18.37	11.65	17.65	67.67	61.73	58.16
chr2L	3265536	3266061	526	*	5.35698446210101	3.85831493214553	6.07605432985347	-2.14823100858267	2.75415969877993e-08	1.05996743785714e-07	16.96	8.91	17.65	80.26	69.26	52.88
chr2L	18866754	18867873	1120	*	6.25827453470387	5.37931478152556	6.80052330715142	-1.42297534704167	2.79612040047156e-08	1.0718461535141e-07	52.29	36.31	36.27	121.18	100.87	112.36
chr2R	12903837	12905217	1381	*	7.16084337516195	6.29671581048056	7.69751448203715	-1.36339923077964	3.0078474956173e-08	1.14845086196297e-07	57.94	73.99	103.91	177.84	249.92	194.98
chr3R	13874522	13874979	458	*	5.20899353574817	3.91277623142594	5.88056550581834	-1.90985684617596	3.17668864180031e-08	1.2081422157398e-07	14.13	14.39	16.67	51.93	58.72	66.09
chr2L	11358248	11359203	956	*	6.17580073642459	4.77336006992639	6.87331780674102	-2.04010524880206	3.30749235523937e-08	1.25295592751421e-07	31.09	13.7	37.25	107.02	147.54	97.16
chr2R	13002319	13003821	1503	*	6.71206363120073	5.86887404023595	7.24072510659793	-1.32976351840527	3.58222651348494e-08	1.35173078594783e-07	59.36	63.03	52.94	151.08	183.68	118.97
chrX	8650592	8651356	765	*	5.81886287629709	4.79556867822663	6.41150727167355	-1.59162593137576	3.62301346012924e-08	1.36180194649216e-07	28.26	24.66	30.39	81.84	84.31	89.23
chr2R	22689176	22689547	372	*	5.2494761909476	3.7781950699721	5.96258963155414	-2.13899593083911	4.01442574077627e-08	1.50307568433716e-07	16.96	7.54	16.67	56.66	72.27	58.16
chr3R	30460050	30460718	669	*	5.93265192263254	4.68747315991579	6.59088111924269	-1.8115987193136	4.46555217021681e-08	1.66553026889168e-07	16.96	26.03	34.31	84.98	118.94	85.26
chr3L	12467806	12468663	858	*	6.25515824149842	5.19183360387365	6.86062598949254	-1.59873378038842	4.67984072319092e-08	1.73874082253939e-07	21.2	40.42	48.03	105.44	118.94	124.26
chr2L	5208732	5210213	1482	*	8.21586633999643	7.72953364794894	8.57893943198117	-0.860964530279388	5.32115168784173e-08	1.96943775113222e-07	241.66	184.29	210.76	346.23	383.92	417.06
chr3L	1463298	1464333	1036	*	6.81617859687092	5.89179407827041	7.37502881713954	-1.44882137639813	5.4060958387018e-08	1.9932399161015e-07	43.81	50.01	84.31	177.84	143.03	177.13
chr3L	2157373	2158203	831	*	6.47032970586018	5.1924616202516	7.13717310108654	-1.88461754934171	5.57639715610326e-08	2.04821279573983e-07	49.46	30.83	29.41	160.52	179.16	82.62
chr3R	29505846	29507343	1498	*	6.63262753623615	5.66510308950488	7.20660034308892	-1.48379829855604	6.11377768181423e-08	2.23708683357293e-07	39.57	47.96	64.7	182.56	147.54	113.02
chr2L	368012	369395	1384	*	6.48734948872181	4.93604730016928	7.21748774213205	-2.20278494924682	7.405116180554e-08	2.69937442657176e-07	55.12	23.98	12.74	144.79	186.69	115
chr2R	7418233	7419493	1261	*	6.95025746413687	6.29909648426171	7.39728890765489	-1.10693627300432	7.55678145443502e-08	2.74430484397903e-07	94.69	65.08	76.46	179.41	161.09	165.24
chr2R	5726374	5727418	1045	*	6.38598391661677	5.47234327725944	6.94097169181549	-1.41347105866234	7.81851573635312e-08	2.82872142371427e-07	35.33	45.9	51.96	152.66	106.89	109.06
chr2L	530197	530777	581	*	5.25747808955322	3.70406524278829	5.98805010642799	-2.12795746042167	8.72615838936538e-08	3.14532425527125e-07	7.07	14.39	17.65	48.79	82.81	58.82
chr2L	3541128	3541460	333	*	4.59390479355548	2.70006736692724	5.38543521232593	-2.59300959887454	1.0578529868923e-07	3.79883265924891e-07	9.89	2.74	6.86	44.07	43.66	37.67
chr2R	19269029	19269571	543	*	5.45476213482571	4.34295031594942	6.07514907360087	-1.67083101278775	1.10748529815113e-07	3.9623362889407e-07	18.37	21.92	20.59	62.95	69.26	70.06
chrX	6013348	6013862	515	*	5.00912801902163	3.3351144262764	5.76326272745442	-2.25564201798878	1.14135064459846e-07	4.06843071100411e-07	7.07	14.39	8.82	39.34	54.2	69.4
chr2L	21847212	21847787	576	*	5.56618954768565	4.35262552746879	6.21584909273019	-1.7934188591542	1.18207475588566e-07	4.19810372862335e-07	15.55	21.24	24.51	59.8	75.28	87.91
chr3L	10760661	10761112	452	*	5.50562567238313	4.3669994779028	6.13398692607548	-1.70771104629443	1.19862157397464e-07	4.24127633867948e-07	19.79	20.55	21.57	59.8	82.81	68.08
chr2R	21523263	21524321	1059	*	6.19275581596207	5.02354462253203	6.82998172654554	-1.75770243378327	1.20397275518408e-07	4.24466307119642e-07	29.68	19.87	48.03	111.74	126.47	103.11
chr2R	6871927	6873019	1093	*	6.21424227727282	5.34410412294551	6.75318318945211	-1.3787165505985	1.36582098849193e-07	4.79775663593891e-07	39.57	34.25	48.03	110.16	118.94	94.51
chr2L	20770009	20770674	666	*	5.783553849445	4.67237889074457	6.40374904278716	-1.70433854283482	1.40151201965611e-07	4.90529206879637e-07	29.68	23.29	23.53	62.95	97.86	93.19
chr2R	15834490	15835675	1186	*	6.91830472485757	5.99553142993159	7.47657819588743	-1.43786931034798	1.45612752491748e-07	5.07804761397215e-07	42.4	56.86	92.15	155.8	198.73	179.78
chr3R	16702630	16703648	1019	*	6.4232085315017	5.32067649861553	7.04079059354695	-1.70197017203185	1.56223789963003e-07	5.42849572317484e-07	52.29	20.55	47.05	129.05	143.03	122.94
chr2L	12009954	12011946	1993	*	6.92391056952409	5.94856388210682	7.50056078327801	-1.47741727888484	1.77887027059031e-07	6.15909921645247e-07	35.33	84.26	65.68	201.44	185.18	156.64
chr3R	27595878	27596570	693	*	6.12685545836217	4.38347796528161	6.89351876405278	-2.37141895717852	2.07652386884461e-07	7.16400734751392e-07	26.85	10.28	25.49	129.05	170.13	57.5
chr3R	13789823	13790342	520	*	5.890264957187	3.6692969179552	6.72659520450952	-2.81175118504417	2.29822679797389e-07	7.90066578947607e-07	18.37	4.11	15.68	121.18	153.57	42.96
chr4	504418	505179	762	*	5.81137264642141	4.73324105996973	6.42146618334553	-1.61216217477043	2.39992818168545e-07	8.21540175498829e-07	25.44	30.83	23.53	102.3	82.81	72.04
chr2L	11968511	11969315	805	*	5.37463074000919	4.14336747392692	6.0291173212794	-1.77123967435892	2.40678954105765e-07	8.21540175498829e-07	14.13	21.24	17.65	73.97	67.75	54.2
chr3L	13400839	13401482	644	*	5.61060150468566	4.49936054887848	6.23081657350767	-1.68015648616567	2.54711053906772e-07	8.66376331246275e-07	25.44	19.87	22.55	78.69	85.82	60.81
chr2L	12013400	12013881	482	*	5.23063953943814	3.80201028752895	5.93419771449738	-2.07132957963206	2.6963362206814e-07	9.13916066378328e-07	16.96	8.22	16.67	48.79	79.79	54.86
chr3L	19682562	19683741	1180	*	6.53357700579708	5.5928790865066	7.09821779717762	-1.50924333031864	2.79026213698365e-07	9.4244518333084e-07	73.49	36.99	34.31	130.62	137.01	143.42
chr3R	12278805	12279057	253	*	4.77369152655974	3.15957519026888	5.51641785218379	-2.17093560270487	2.87585571396474e-07	9.67970947627156e-07	5.65	12.33	8.82	48.79	37.64	50.89
